cat1	cat2	cat3	brand	sku_size	product_id	descripcion
FOODS	ADEREZOS	Aji Picante	NATURA	240	20609	Salsa Aji Picante
FOODS	ADEREZOS	Barbacoa	NATURA	250	20266	Salsa Barbacoa
FOODS	ADEREZOS	Barbacoa	NATURA	400	20325	Salsa Barbacoa
FOODS	ADEREZOS	Barbacoa	NATURA	500	20503	Salsa Barbacoa
FOODS	ADEREZOS	Chimichurri	NATURA	350	20797	Chimichurri
FOODS	ADEREZOS	Ketchup	MAJESTA	240	20299	Ketchup
FOODS	ADEREZOS	Ketchup	MAYOS3	240	20158	Ketchup
FOODS	ADEREZOS	Ketchup	NATURA	250	20728	Ketchup Light
FOODS	ADEREZOS	Ketchup	NATURA	375	21020	Ketchup Miel
FOODS	ADEREZOS	Ketchup	NATURA	375	20806	Ketchup Reguylar
FOODS	ADEREZOS	Ketchup	NATURA	60	20119	Ketchup tomate
FOODS	ADEREZOS	Ketchup	NATURA	240	20033	Ketchup tomate
FOODS	ADEREZOS	Ketchup	NATURA	400	20242	Ketchup tomate
FOODS	ADEREZOS	Ketchup	NATURA	500	20095	Ketchup tomate
FOODS	ADEREZOS	Mayonesa	MAJESTA	340	20506	Mayonesa Frasco
FOODS	ADEREZOS	Mayonesa	MAJESTA	120	20270	Mayonesa Tradicional
FOODS	ADEREZOS	Mayonesa	MAJESTA	250	20161	Mayonesa Tradicional
FOODS	ADEREZOS	Mayonesa	MAJESTA	475	20107	Mayonesa Tradicional
FOODS	ADEREZOS	Mayonesa	MAJESTA	1000	20175	Mayonesa Tradicional
FOODS	ADEREZOS	Mayonesa	MAYOS3	120	20227	Reguar sin TACC
FOODS	ADEREZOS	Mayonesa	MAYOS3	240	20116	Reguar sin TACC
FOODS	ADEREZOS	Mayonesa	MAYOS3	475	20084	Reguar sin TACC
FOODS	ADEREZOS	Mayonesa	MAYOS3	950	20121	Reguar sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	230	20459	Casera
FOODS	ADEREZOS	Mayonesa	NATURA	500	20522	Casera
FOODS	ADEREZOS	Mayonesa	NATURA	240	20580	Ketchup Vegano
FOODS	ADEREZOS	Mayonesa	NATURA	500	20547	Ketchup Vegano
FOODS	ADEREZOS	Mayonesa	NATURA	120	20384	Light sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	240	20108	Light sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	330	20454	Light sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	350	20683	Light sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	475	20046	Light sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	500	20645	Light sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	950	20118	Light sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	250	20440	Mayonesa Palta
FOODS	ADEREZOS	Mayonesa	NATURA	240	20396	Oliva
FOODS	ADEREZOS	Mayonesa	NATURA	475	20399	Oliva sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	120	20005	Regular sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	240	20004	Regular sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	330	20379	Regular sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	330	20394	Regular sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	475	20003	Regular sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	475	20501	Regular sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	950	20019	Regular sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	240	20554	Sin colesterol
FOODS	ADEREZOS	Mayonesa	NATURA	500	20494	Sin colesterol
FOODS	ADEREZOS	Mayonesa	NATURA	120	20796	Suave sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	250	20264	Suave sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	475	20207	Suave sin TACC
FOODS	ADEREZOS	Mayonesa	NATURA	1000	20322	Suave sin TACC
FOODS	ADEREZOS	Mostaza	MAJESTA	240	20328	Mostaza
FOODS	ADEREZOS	Mostaza	MAYOS3	240	20232	Mostaza
FOODS	ADEREZOS	Mostaza	MOSTAZA1	220	20684	Especias
FOODS	ADEREZOS	Mostaza	MOSTAZA1	370	20250	Especias
FOODS	ADEREZOS	Mostaza	MOSTAZA1	180	21154	Mostaza Ahumada
FOODS	ADEREZOS	Mostaza	MOSTAZA1	180	21144	Pimienta
FOODS	ADEREZOS	Mostaza	MOSTAZA1	60	20100	Regular
FOODS	ADEREZOS	Mostaza	MOSTAZA1	200	20211	Regular
FOODS	ADEREZOS	Mostaza	MOSTAZA1	240	20023	Regular
FOODS	ADEREZOS	Mostaza	MOSTAZA1	500	20078	Regular
FOODS	ADEREZOS	Mostaza	MOSTAZA1	250	20668	Suave
FOODS	ADEREZOS	Mostaza	MOSTAZA1	200	20375	Suave Especiada
FOODS	ADEREZOS	Mostaza	MOSTAZA1	275	20884	abejas
FOODS	ADEREZOS	Mostaza	MOSTAZA1	180	21146	colchon de finas hierbas
FOODS	ADEREZOS	Salsa Golf	MAJESTA	240	20471	Salsa golf
