cat1	cat2	cat3	brand	sku_size	product_id
HC	ROPA LAVADO	Liquido	LIMPIEX	900	20280
HC	ROPA LAVADO	Liquido	LIMPIEX	450	20180
HC	ROPA LAVADO	Liquido	LIMPIEX	120	20332
HC	ROPA LAVADO	Liquido	LIMPIEX	450	20222
HC	ROPA LAVADO	Liquido	LIMPIEX	900	20288
HC	ROPA LAVADO	Liquido	LIMPIEX	900	20582
HC	ROPA LAVADO	Liquido	LIMPIEX	450	20507
HC	ROPA LAVADO	Liquido	LIMPIEX	500	20740
HC	ROPA MANCHAS	Ladrillo	LIMPIEX	200	20082
HC	ROPA MANCHAS	Ladrillo	LIMPIEX	200	20039
HC	VAJILLA	Opaco	LIMPIEX	750	20017
HC	VAJILLA	Opaco	LIMPIEX	750	20008
HC	VAJILLA	Cristalino	LIMPIEX	750	20018
HC	VAJILLA	Cristalino	LIMPIEX	750	20109
HC	VAJILLA	Cristalino	LIMPIEX	750	20006
HC	PROFESIONAL	Liquido	LIMPIEX	5000	20487
HC	ROPA LAVADO	Liquido	LIMPIEX	2	21052
HC	ROPA LAVADO	Liquido	LIMPIEX	400	20174
HC	ROPA LAVADO	Liquido	LIMPIEX	1400	20126
HC	ROPA LAVADO	Liquido	LIMPIEX	3000	20085
HC	ROPA LAVADO	Liquido	LIMPIEX	1500	20110
HC	ROPA LAVADO	Liquido	LIMPIEX	800	20026
HC	ROPA LAVADO	Liquido	LIMPIEX	3000	20002
HC	ROPA LAVADO	Liquido	LIMPIEX	1500	20373
HC	ROPA LAVADO	Liquido	LIMPIEX	3000	20168
HC	ROPA LAVADO	Polvo	LIMPIEX	1500	20156
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20455
HC	ROPA LAVADO	Polvo	LIMPIEX	3000	20498
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20043
HC	ROPA LAVADO	Polvo	LIMPIEX	3000	20024
HC	VAJILLA	Opaco	LIMPIEX	1250	20097
HC	VAJILLA	Opaco	LIMPIEX	4000	20099
HC	VAJILLA	Cristalino	LIMPIEX	750	20029
HC	VAJILLA	Cristalino	LIMPIEX	4000	20178
HC	VAJILLA	Cristalino	LIMPIEX	750	20040
HC	PROFESIONAL	Polvo	LIMPIEX	10000	20164
HC	ROPA LAVADO	Polvo	LIMPIEX	400	20010
HC	ROPA LAVADO	Polvo	LIMPIEX	400	20010
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20022
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20022
HC	ROPA LAVADO	Polvo	LIMPIEX	3000	20025
HC	ROPA LAVADO	Polvo	LIMPIEX	400	20021
HC	ROPA LAVADO	Polvo	LIMPIEX	400	20021
HC	ROPA LAVADO	Polvo	LIMPIEX	800	20020
